title,url,vcn
【纪录片】十万镑建房之装修诀窍 第三集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av8628874,9706
【纪录片】宠物岛 3/6【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6446624,9597
【ABC】原油之旅 【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av21284825,9545
【SKY】90岁的爱登堡 镜头背后【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4592832,9526
【纪录片】鬼斧木工 第二集 光辉的格里林·吉本斯【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4523661,9473
【SKY】微型猛兽 第三集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6470829,9412
【史密森尼】圣地 佩特拉【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av7876393,9401
【国产高清】铁道记忆【中文字幕】【纪录片之家字幕组制作中文字幕】,https://www.bilibili.com/video/av4425680,9389
【探索频道】惊天工程 之 伦敦碎片大厦【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av25355228,9221
【短片集锦】奇妙的地点【中文特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av27206497,9124
【SKY】微型猛兽与大卫·爱登堡 第二集 掠食者【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4893233,9089
【纪录片】旅行者号 探索最遥远的边疆【1080p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av28717858,9053
【纪录片】自然世界 之 美洲豹 - 巴西大型猫科动物【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av12741915,9013
【纪录片】盎格鲁-撒克逊第一集 阿尔弗雷德大王【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6371011,8984
【探索频道】 揭秘圣物之所 科隆大教堂【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av18011899,8973
